date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:40	61926/61926	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:04%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/shop-list.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/shop-list.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:40	99137/99137	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:05%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/shop-right-sidebar.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/shop-right-sidebar.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:40	79116/79116	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:03%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/shop-3-grid.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/shop-3-grid.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:41	81972/81972	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:04%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/shop-list-left-sidebar.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/shop-list-left-sidebar.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:42	52290/52290	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:07%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-carousel.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-carousel.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:42	81948/81948	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:04%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/shop-list-right-sidebar.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/shop-list-right-sidebar.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:43	54116/54116	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:09%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-sticky-left.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-sticky-left.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:44	54101/54101	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:10%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-sticky-right.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-sticky-right.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:46	54070/54070	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:08%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-gallery-left.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-gallery-left.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:47	55094/55094	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:08%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-gallery-right.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-gallery-right.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
